"","Effect","N","did","sc","sdid"
"1",1,10000,1.87760888845473,1.52421747120216,1.28934129139816
"2",1,10000,-1.00098751154515,-1.07296892453219,-1.03938250020235
"3",1,10000,1.19731664822968,1.11858443049471,0.913431727903421
"4",1,10000,2.07035445313487,0.997797194003327,1.5704174841887
"5",1,10000,0.0697602104984505,0.74198152912664,0.231928807629839
"6",1,10000,2.40563942333287,1.26132455661317,1.96557339878527
"7",1,10000,1.57769581131354,0.811699765792739,1.99050848671464
"8",1,10000,0.213866454942429,0.847080521221135,1.24186430630304
"9",1,10000,0.318617935624726,0.360610571928176,0.115143593279513
"10",1,10000,0.795494013751579,0.372072209540462,0.19443182741884
"11",1,50000,0.3375542573212,-0.15902366511883,-0.00224497069236929
"12",1,50000,2.50258493585194,3.21577507563114,2.25998622375406
"13",1,50000,0.643996639550764,0.608566462610351,0.639531776492968
"14",1,50000,1.09445026163638,0.997886067724873,0.669689322265235
"15",1,50000,0.172610012471858,0.283513470625333,0.0326383696632715
"16",1,50000,1.92126576175728,1.33735951393286,1.4389674121267
"17",1,50000,0.715458123514684,0.364643500534317,0.640746304072211
"18",1,50000,0.32873307450781,0.273850628375553,-0.13539491320092
"19",1,50000,-0.20369003779,-0.727180012760362,-0.813517840940604
"20",1,50000,-0.698502361763848,-0.773059579884263,-0.50895947778083
"21",1,1e+05,-0.681281773796551,-1.13499551132309,-1.34767227267599
"22",1,1e+05,1.52105003372005,0.935764880955592,1.34548928068267
"23",1,1e+05,2.68138897951894,2.43631723496566,2.00509093017967
"24",1,1e+05,2.48553732722456,2.35370549795664,2.14344465520363
"25",1,1e+05,1.42630055803515,1.29125485567152,1.47269262675059
"26",1,1e+05,2.10542850320577,1.87211447851686,2.01884038662114
"27",1,1e+05,1.87717287438702,1.51948812362325,0.831042958575373
"28",1,1e+05,1.55039032585739,1.21992387807155,1.10550242304596
"29",1,1e+05,1.76912879655146,1.2798360723713,2.29476025435493
"30",1,1e+05,1.76493767577429,1.75534760638127,1.35467752183831
"31",1,5e+05,1.72563898191024,1.41207719603667,1.96463859167586
"32",1,5e+05,1.38885383742582,-0.509660925826501,0.335625963946391
"33",1,5e+05,2.58601409369474,2.80490338275817,2.30405048402427
"34",1,5e+05,0.455424186852182,1.19642028945347,0.51678773159011
"35",1,5e+05,0.186468917331911,0.225763254894246,0.0804870912697547
"36",1,5e+05,0.199306467954972,0.270362253393491,-0.178241055866819
"37",1,5e+05,1.16096112757462,2.27999573792474,1.36721467499607
"38",1,5e+05,2.35803420138107,1.65103787302584,1.96769331144855
"39",1,5e+05,0.0288444824714531,0.249046810288449,0.964536184573393
"40",1,5e+05,0.77618924868949,1.01337694469139,1.00509048767986
"41",1,1e+06,-0.215091016790897,0.523833018044114,0.255167984232699
"42",1,1e+06,-0.0137503310595807,-2.06168117416831,-0.503267806608616
"43",1,1e+06,1.40118478102442,1.01225372881405,1.78342751271091
"44",1,1e+06,1.29080474207823,0.295052348891343,1.00701942845813
"45",1,1e+06,1.00226274781359,1.11099738402338,0.673906484810101
"46",1,1e+06,-0.527402110509223,1.3776352385983,0.453355963003092
"47",1,1e+06,-1.15201272279139,-0.969056654806686,-1.18902627922982
"48",1,1e+06,1.70949706992882,0.177866750415645,0.844501054311034
"49",1,1e+06,4.23716831551776,3.48310609015012,2.92633629022991
"50",1,1e+06,2.97193826994545,2.48861527735727,2.37331693465428
"51",1,3e+06,1.96235690035585,1.80567302370439,1.00322601653531
"52",1,3e+06,1.26056136701181,2.96054925855408,1.93843499931536
"53",1,3e+06,-1.38182565838975,-1.6780144655823,-1.25243767329141
"54",1,3e+06,2.02621485008661,2.57645344431405,1.77432394082432
"55",1,3e+06,1.20337201066646,1.73175797091728,1.14331951925246
"56",1,3e+06,0.735419889410311,0.535681135420344,1.11398748894109
"57",1,3e+06,0.322063630834279,0.10259576273466,0.592359669057377
"58",1,3e+06,-0.0952061781178966,-0.329400240606758,-0.234995441067554
"59",1,3e+06,1.41521643794199,1.22329086813349,1.42309769532486
"60",1,3e+06,0.888049669550177,0.682404077123524,1.05542786546437
