"","did","sc","sdid"
"1",1.39564748772831,2.72720811567744,2.49277918677826
"2",2.89736057290405,2.4335098674071,2.56681696687954
"3",2.64872013053343,2.32378533747659,2.3170078230453
"4",2.89721015266281,2.77784138162746,2.72229909334869
"5",1.56744122512654,2.21177031299053,1.96557095794599
"6",2.03197878751731,2.21087071188039,2.36199878648013
"7",2.56864183799643,1.22267687941874,1.70789128497026
"8",2.06863512413786,1.04956738536632,1.35470180695994
"9",2.1031029905444,2.0774241435733,1.98519244366391
"10",1.26682622177658,1.82825452211939,1.56435853807965
"11",2.508062206395,2.18855667273675,1.99054320234665
"12",1.91846270789842,1.29828340392236,1.45700267006277
"13",2.25241541703212,2.13753081971608,1.59537700627583
"14",1.25391386662064,1.65321108373733,1.60380694586031
"15",2.77907196171637,2.67562102065365,2.78720503177764
"16",1.39488594992916,1.27187834875187,1.65983404709407
"17",2.88534356168059,2.02944006065337,1.93879334981758
"18",4.5288292041404,2.26233170497492,2.09530282333073
"19",2.41374728105335,2.78116266533865,2.54205121357414
"20",1.97278439277269,1.85130927649683,1.572042416174
"21",2.28316041880246,1.4912278627759,2.00591987183363
"22",0.973906131792451,1.9895748556127,1.57204946299999
"23",2.23520334785374,1.9861897354384,1.84186546132978
"24",3.95814218372487,2.44138238832296,2.65427830455963
"25",2.3312409013585,1.35142348007883,1.83806807298415
"26",2.64942685935464,2.39644108223708,2.387678835448
"27",2.64572391279655,1.68655883957381,1.73714817425444
"28",2.05411071941733,2.2482648491985,2.01125602934447
"29",0.744372261462891,1.46519591698642,1.28106452994552
"30",0.926076952125048,1.45445688232346,1.48997050768189
"31",2.14618975951474,2.03661124843988,2.03254348924716
"32",2.76760590471081,1.54172983817472,1.65182800773841
"33",1.81833006388681,3.06473223515484,2.87847771577993
"34",2.3124035205654,2.01892307080802,2.31970175800184
"35",1.95819607816678,1.76709736117391,1.82094435659414
"36",2.50094083551211,1.3078612868765,1.60568694285726
"37",1.80071499293378,2.51946462266636,2.22059703278552
"38",1.65667160734429,2.13380314945643,1.77150779740984
"39",1.32953789744758,1.27720471136288,1.51840360274688
"40",2.58003768463445,1.96512304949779,2.12828386204591
"41",0.740542246188737,1.27272868129031,1.19853188146265
"42",2.69857103384594,1.37704089900518,2.06495805232729
"43",2.76916273278117,2.35413303733265,2.32565147986331
"44",3.36043944803297,2.75785761956874,2.22558205293488
"45",1.86027244199404,1.44206975432125,1.89002133025675
"46",1.73572829283585,1.8625422543928,1.59742666395024
"47",1.55780169657359,1.37525721162093,1.92619870439351
"48",1.35665755868937,1.25234536823911,1.55668709163846
"49",0.999779622169404,2.74788970589519,1.91321210083122
"50",1.45588845486794,1.72857502691993,1.83824145267927
"51",2.36458990464954,2.38731415906688,2.33549680458253
"52",1.72652620081352,1.93401778052373,1.74660774125717
"53",2.49505469221986,1.80393988565957,1.91013506740112
"54",2.07166886721775,1.88381772794216,1.77291585884154
"55",3.30432877468046,2.02976072379514,2.16194728174926
"56",2.17552271227595,1.96061886808857,1.54762734418545
"57",1.89627182967784,1.4702417732088,1.48858727041364
"58",1.85807182602892,2.13901604261265,1.91619218094614
"59",1.84721501017628,2.57227855028799,2.28364321754224
"60",1.87220007252726,1.9478270254215,1.71136426660788
"61",2.13693529597326,1.41061108788589,1.49388744903328
"62",1.93025486011293,2.21675077694558,2.52980039983465
"63",1.2530852916513,1.33204479913156,1.59968519079099
"64",2.07239714409738,1.67038720589122,1.67668396761406
"65",1.39235213424887,1.42934113742622,1.500106954149
"66",1.03057425903137,1.52635741244214,1.42186464493126
"67",2.591255175632,2.25736242901922,2.25522351897717
"68",2.20918903719074,2.2243527853852,2.41130963479418
"69",1.65761200437729,1.12579448969859,1.56323715617935
"70",2.29029659285755,2.60086021866069,2.24367509381743
"71",1.56767556000476,2.30652424261477,2.30016268294531
"72",2.87905028919197,2.62186625166939,2.29916946035748
"73",1.94399468267643,2.17865416151826,2.21294687147073
"74",1.7136459183856,1.96110479269763,2.05497361681939
"75",2.52894278780906,2.52583024956486,2.49806931222092
"76",2.37008697824524,1.15351518738508,1.52734290000515
"77",2.76074627475037,1.83908713474134,2.19303070265272
"78",1.19273805134292,1.79022879087099,1.83114130607555
"79",1.50641235409926,2.17078264243679,1.87598925322344
"80",2.26538756817788,2.04010225122698,2.06835630583429
"81",1.64653388845834,1.99645461397417,1.71117660943783
"82",1.88547151640937,2.13158419196772,1.930869118091
"83",1.89054628249463,1.92169892672306,1.86543788645587
"84",2.46209271122272,3.09307395923682,2.56338422831306
"85",2.30028752113035,2.94758998397832,2.36230008999856
"86",1.3980208387087,1.38043145613314,1.41045003139226
"87",1.39519483621471,1.88541591623725,1.65563036740657
"88",1.06299634883874,2.23723799129343,1.68917918360164
"89",2.61274477501818,2.00703348460335,2.08966432080957
"90",1.99105236676168,2.18455567711676,1.97008216099173
"91",2.46970865091544,2.17993209453617,1.7826826468225
"92",2.06241948474652,1.94773737431706,1.88946948157415
"93",2.49188797683459,2.18922473853228,2.04213107393342
"94",1.86094518852416,2.43340490268165,2.23832366368845
"95",2.59402323381869,2.2145821227232,2.42664019507082
"96",1.69938700587593,2.85727016751681,2.36347583883084
"97",1.68639545405409,1.39119419426863,1.29908704114426
"98",2.70523167896536,1.65749459258039,1.94725463528283
"99",0.0826772958979707,2.02100779041636,2.10156397496056
"100",2.51841409693469,1.91371088050689,1.70446472743887
"101",2.00986987119261,2.49059640620196,2.26347402896347
"102",2.07141835942798,2.24909394894181,2.52563163091899
"103",0.6303267453019,1.67042238709164,1.63269266777927
"104",2.9620698789346,2.43473160994322,2.38201364521237
"105",2.01313674561676,1.68678707402921,1.9044857475385
"106",2.58604925078249,1.30066591763667,1.8906625579272
"107",2.39735873752497,2.08701062650803,1.88546698956117
"108",1.68018030708228,1.89444447838046,2.08171262678371
"109",2.46131988653444,1.55093717153674,1.85002800946647
"110",2.2750993223373,1.90190991186406,1.70284401338728
"111",2.2120089273458,1.42084941745985,1.68902651262884
"112",2.11377797790637,2.32653262304229,2.62023093957533
"113",1.56185365204566,2.00049002019495,1.99094316425876
"114",1.32232670624666,1.38056464500976,1.4055229739494
"115",1.96300697984077,1.92375161372686,1.87603575094201
"116",2.96849248414094,1.3501212211313,1.7538775815855
"117",2.30949586140201,1.49150726755751,1.71091752099711
"118",3.47888928228516,2.26899716180789,2.30004091693267
"119",3.03194875463652,2.63142141807024,2.50889032888151
"120",1.80163548372974,1.85151537449793,1.59771680213445
"121",1.96580793062589,1.86043779359601,1.77705709340871
"122",1.77456363863247,1.4988618135227,1.55615718176988
"123",1.81953396474749,2.10921934023838,2.12093269330396
"124",1.83631130750711,1.67539983282801,1.9481883150261
"125",2.37419013081769,2.00407207670179,2.24685018925399
"126",2.26789912145004,1.45908095051362,1.88159677869061
"127",2.99203057885373,2.17028712487723,2.2195137559288
"128",1.69430256778392,1.94658969092409,1.92142070857774
"129",2.2750582760373,3.07260347964045,2.76700455283052
"130",2.21056723200115,1.95984394830702,2.18699448398512
"131",1.4316245832061,1.48137685031428,1.76179628705776
"132",1.92167335414098,1.81098019699168,2.11509647927052
"133",2.26663954495904,1.82977916942341,2.24421179326674
"134",1.12652259961713,1.00708978811369,1.08355458814425
"135",2.35032784803098,2.00502033913222,2.14907160216524
"136",2.6207690564069,2.64724287154078,2.48347515937752
"137",1.9241030095536,1.93524508099168,1.92128122171654
"138",2.35357862078193,1.96766071008029,2.10966173075094
"139",1.84797525331292,1.71413611206959,1.78335157496089
"140",3.05670193529407,2.46397933006411,2.6007566501722
"141",1.52455770470206,2.17247370111242,2.22684576456664
"142",2.63126350114169,2.09559368787848,2.15539449563163
"143",1.17888846439523,2.27765842703564,1.89533176840113
"144",3.35142198704637,2.15145631210296,2.30268097795356
"145",2.91595310264399,1.87432536456193,2.06544299419941
"146",2.55553754979168,1.99962369261106,2.27458404774927
"147",0.454220289795147,1.14129302730695,1.293581244782
"148",0.726259049676641,2.07997963570165,1.96256930405088
"149",1.39287759819851,1.60018924612673,1.70947017291716
"150",2.99600663887913,2.12450302133969,2.25984178133036
"151",2.35057692469601,2.45596072545426,2.00746969638087
"152",1.21510767984474,1.47031927998539,1.61005894753712
"153",2.84805769936668,2.44531375970434,2.11516808453123
"154",1.68323606605242,1.99564619823071,1.91795556277818
"155",3.02619621783377,2.81554575047562,2.54667023511557
"156",1.20037479486304,1.19672094869916,1.72173540697337
"157",2.02156755527851,1.93809442736393,2.06783554062764
"158",2.55910342170109,1.79112029207666,2.07831766902749
"159",1.84658777531572,1.95406290667879,2.11513761643004
"160",2.21870053269567,2.0429253356789,1.65237968146876
"161",2.47259708733731,2.08915805443784,2.11887075739252
"162",0.718640701573073,1.42678440323457,1.60136727347516
"163",2.77479107380126,2.12780140273432,2.13705122365229
"164",2.46796456226281,1.84920090087544,1.97149403734469
"165",2.28422777691436,2.07571415813585,2.3269053954365
"166",2.4479787441904,2.05461831581057,2.2167100455382
"167",1.26366167316545,1.98802741487788,1.64552549919207
"168",1.89284099246265,2.18365987749823,2.69312472247671
