"","Effect","Treatment Period","did","sc","sdid"
"1",1,3,0.0448147305420756,-3.00672505290606,-3.43806943008551
"2",1,3,4.30591990607843,4.27607539040225,4.86267909991927
"3",1,3,1.61841470597006,1.55828094047158,1.68951621206747
"4",1,3,-2.05120039521933,-3.72208798409855,-1.48267041390432
"5",1,3,-2.8130670165018,-4.3561024451037,-2.22429221089979
"6",1,3,2.37046263476325,2.67580606280099,2.38928391501891
"7",1,3,-0.338487035948903,0.741391864519795,-0.751875396083211
"8",1,3,0.999806694108335,2.95261362625281,1.04447097173735
"9",1,3,-1.11492237086123,-1.83693126322419,-1.10797407600807
"10",1,3,0.196593661026179,-2.55529841466754,0.832691557832022
"11",1,3,1.51949269560065,-0.950731451233512,1.41736864291864
"12",1,3,1.82706808032959,3.93541757683231,2.18016247529027
"13",1,3,0.57411994087262,1.64924737863987,1.44313798886206
"14",1,3,0.180854312699004,0.435884603487936,0.19377512267997
"15",1,3,-1.89286466379975,-1.11144010527392,-1.62480279009456
"16",1,3,-2.427372859736,-3.22560796323317,-3.04194125274821
"17",1,3,-0.57625795120799,0.603384608635687,0.241192703510829
"18",1,3,-0.446546502911988,0.734430399646399,-0.0952349963565385
"19",1,3,0.754902413669684,0.691476907399369,0.787456386596434
"20",1,3,-1.7536196765484,-2.43324470658518,-2.62563933484216
"21",1,3,2.94459467984298,2.50458113122949,2.82280595041111
"22",1,3,3.45221026566589,2.22184729429571,4.17015267815387
"23",1,3,1.4353687289899,-0.315253024755914,0.396745570160467
"24",1,3,0.505651287682357,2.57805866003489,0.519269158118473
"25",1,3,0.747126259100032,0.140028349055456,0.549362756084191
"26",1,3,-1.49436860483106,-2.96384144980453,-1.59731926738343
"27",1,3,-0.195274721732895,0.758798385760788,-0.0198023521518758
"28",1,3,2.54716991028144,-0.143700316527492,2.04768951029307
"29",1,3,-3.03225778750043,-3.14331995308992,-3.98172831548106
"30",1,3,1.18299598359895,2.07191138628871,1.55638549829444
"31",1,3,-0.0107041354312378,-0.384756077327851,0.112515447535566
"32",1,3,0.368130284857869,2.00817765037462,0.920408907784391
"33",1,3,1.82122834858671,4.07108173175028,1.66621054178027
"34",1,3,5.54798151346702,5.50369515252813,4.95123288649172
"35",1,3,0.0457149844247768,3.2169398972974,1.1804689895203
"36",1,3,3.72097026555742,4.59665669563244,3.56557917018366
"37",1,3,1.71015811515692,2.46846717162286,1.71430906691763
"38",1,3,1.26333444834008,0.268385809951716,0.732770041079481
"39",1,3,2.68106887903425,4.15010926507995,2.58853764310137
"40",1,3,-0.464917624352388,0.79411480697963,-0.367996646247236
"41",1,3,2.38798616283033,3.45031829942155,2.09295557955135
"42",1,3,-0.740072838561123,-0.287837028993866,-0.585722328062568
"43",1,3,2.07706417563527,2.20749510675676,2.21321582798226
"44",1,3,0.182799374997594,-1.74943895067934,-0.550100566142388
"45",1,3,0.476544526474522,0.617403600778266,0.404575952514611
"46",1,3,4.07873394117134,0.299882171288699,4.47204532573399
"47",1,3,2.1275687819521,1.09985950186224,1.91682891069288
"48",1,3,0.899134650868325,0.563964401004363,0.385996608897515
"49",1,3,-0.637920794021495,-2.45641337786948,0.0629124028061263
"50",1,3,-0.670993372044356,-2.21502670825255,-0.579939643465033
"51",1,3,0.422782386570994,1.43544993566556,0.687091807216902
"52",1,3,1.73476663782511,1.19315169971739,2.22742594136981
"53",1,3,0.342607800284746,0.782791260349732,0.401643966043587
"54",1,3,0.616025470984768,-0.235179145289735,0.160392403871317
"55",1,3,2.93764009189103,2.77176096624108,2.98657815454479
"56",1,3,1.64036865447448,0.643209883098333,1.89991603559652
"57",1,3,1.60388715125072,1.26752550351757,1.60307543432524
"58",1,3,-0.509052324124023,0.935687306808558,-0.762473234999915
"59",1,3,3.56850093979805,5.41371100816169,3.22435204368382
"60",1,3,4.37894642419838,9.76836856976672,4.35691289901968
"61",1,3,1.68718006789522,1.32767542769013,2.394369802982
"62",1,3,0.0266342176572563,-1.76490969983588,0.537658420154222
"63",1,3,2.28889803199903,0.741666780471021,2.21370898520509
"64",1,3,4.22635026188449,3.22763665454463,4.07962821840088
"65",1,3,1.81605336922504,0.490950214625548,0.900809606582466
"66",1,3,-1.3482912307222,-1.69340006727575,-1.38878363596234
"67",1,3,-0.316663951268498,1.24688126456385,-0.665523299894778
"68",1,3,2.13430176658116,1.3774845156813,2.05000370312057
"69",1,3,2.23145032249779,3.32310957419757,2.65505600895853
"70",1,3,0.0465706216988564,-2.73726688847252,0.1275410188666
"71",1,3,1.33910774649053,-0.746246337076647,0.904249121776829
"72",1,3,-0.962452046770623,0.144979040028179,-0.816944944419859
"73",1,3,2.74314884494453,2.25052773001958,2.19551132354182
