"","Effect","Heterogeneity","Treated","did","sc","sdid"
"1",1,1,5,3.16617331239151,1.83341092863807,1.84034870917272
"2",1,1,5,2.86606230066492,1.31836924812881,1.05397795531015
"3",1,1,5,1.66494652431047,1.62135191779118,1.52765218575924
"4",1,1,5,2.94360542598404,1.06440349634611,1.27987873568823
"5",1,1,5,1.44097396164658,0.612815135813308,1.53830104315115
"6",1,1,5,1.28299139568367,0.531249491407502,0.237527803747032
"7",1,1,5,3.57002883477822,1.59039962965193,2.05532641402409
"8",1,1,5,1.35067879475112,0.193744369501176,0.239158123306418
"9",1,1,5,2.92208387544702,1.14042981016795,1.34548152992977
"10",1,1,5,0.160266999559647,-0.436323567031221,0.0528942642285495
"11",1,1,5,1.28739928758147,0.796949481391414,0.603167044514369
"12",1,1,5,1.03379749662637,0.190809790492934,0.550640326403398
"13",1,1,5,0.627290278624896,0.626748677823271,0.573124172456267
"14",1,1,5,2.47476032611365,1.9596122421491,1.53902132559698
"15",1,1,5,1.58390471962334,1.4255980474044,1.06050284160692
"16",1,1,5,0.884678303154841,0.392889602972039,0.347350494592104
"17",1,1,5,1.20385445557755,1.65405441265441,1.32055588130793
"18",1,1,5,1.17218478349533,0.279473437205995,0.410365800831224
"19",1,1,5,1.41957592809135,0.375444248159363,0.599755434815924
"20",1,1,5,2.47009559526383,1.72324273027784,1.77240205610608
"21",1,1,5,0.43086970338098,1.25327861977654,1.36174713462867
"22",1,1,5,0.667678637997269,0.353048619343052,0.456003759660101
"23",1,1,5,2.36928265493514,1.53496004133687,1.00255198498539
"24",1,1,5,1.89739032193977,0.72830464924964,0.964578743039231
"25",1,1,5,2.8468094090741,2.13197201119912,2.11781987795053
"26",1,1,5,2.00131807213634,2.3229621255615,1.57715058414356
"27",1,1,5,2.14681515947146,0.862542985122191,1.11999213126118
"28",1,1,5,2.7133861501343,2.63699917089333,2.16066074697754
"29",1,1,5,2.55688041176515,1.15568099426627,0.981564903195041
"30",1,1,5,0.457136784541368,0.0758807396339362,0.361953568186571
"31",1,1,5,3.09866091562968,2.33432078255356,2.75848289527944
"32",1,1,5,1.82235461465817,1.84606984359978,1.60282115632121
"33",1,1,5,2.44662523664211,1.99151211424478,2.06997789203344
