"","Observation","Time","value","treated"
"1","Observation1",1,0.26857317487999,0
"2","Observation2",1,-0.327039784187696,0
"3","Observation3",1,-1.24415933700802,0
"4","Observation4",1,-1.50546124548529,0
"5","Observation5",1,-0.139765756106212,0
"6","Observation6",1,-1.96468958048851,0
"7","Observation7",1,-0.925997502315018,0
"8","Observation8",1,-1.7171195163447,0
"9","Observation9",1,-1.59766726825726,0
"10","Observation10",1,-2.69144335263051,0
"11","Observation11",1,0.0652293365336257,0
"12","Observation12",1,0.518434522367805,0
"13","Observation13",1,1.77555331962527,0
"14","Observation14",1,0.527632889746582,0
"15","Observation15",1,-0.613649372680492,0
"16","Observation16",1,0.334727207377406,0
"17","Observation17",1,-0.947457667277058,0
"18","Observation18",1,-1.24365709958707,0
"19","Observation19",1,1.11603494069459,0
"20","Observation20",1,-1.60824620882086,0
"21","Observation21",1,-0.441590217582072,0
"22","Observation22",1,0.156327669739315,0
"23","Observation23",1,-0.884398263644938,0
"24","Observation24",1,-0.300618643965197,0
"25","Observation25",1,0.670218135727021,0
"26","Observation26",1,2.57367560150251,0
"27","Observation27",1,0.946453139933578,0
"28","Observation28",1,0.548770945668999,0
"29","Observation29",1,-0.107442913260649,0
"30","Observation30",1,0.498230784311815,0
"31","Observation31",1,-0.255957358714982,0
"32","Observation32",1,0.522008012205935,0
"33","Observation33",1,-2.31851773053212,0
"34","Observation34",1,-0.336020628137526,0
"35","Observation35",1,0.0727399708023915,0
"36","Observation36",1,1.92391841143781,0
"37","Observation37",1,0.339866424863956,0
"38","Observation38",1,0.285148503471379,0
"39","Observation39",1,1.2987973818828,0
"40","Observation40",1,0.21188453223164,0
"41","Observation41",1,0.269273183135815,0
"42","Observation42",1,-0.886086678716182,0
"43","Observation43",1,-0.393382511027013,0
"44","Observation44",1,1.89484381673974,0
"45","Observation45",1,-0.976672775618854,0
"46","Observation46",1,0.795525639302614,0
"47","Observation47",1,0.899609970765141,0
"48","Observation48",1,1.02045736261807,0
"49","Observation49",1,-0.449386090929948,0
"50","Observation50",1,-0.553026876882265,0
"51","Observation51",1,1.11004409637635,0
"52","Observation52",1,2.11947678986021,0
