"","Observation","Time","value","treated"
"1","Observation1",1,0.517568670276496,0
"2","Observation2",1,0.271042317637183,0
"3","Observation3",1,0.526322310020077,0
"4","Observation4",1,0.57379517078896,0
"5","Observation5",1,-1.70912207487289,0
"6","Observation6",1,-1.28623088820131,0
"7","Observation7",1,-0.313080267525931,0
"8","Observation8",1,1.28877321745586,0
"9","Observation9",1,0.959912298279825,0
"10","Treated1",1,-0.445412629366857,0
"11","Observation1",2,1.22299825107893,0
"12","Observation2",2,-0.890993990234902,0
"13","Observation3",2,1.73070620633672,0
"14","Observation4",2,-0.105051798712206,0
"15","Observation5",2,-1.57853169792612,0
"16","Observation6",2,-1.17537707137559,0
"17","Observation7",2,0.675899440355091,0
"18","Observation8",2,2.99313266710481,0
"19","Observation9",2,2.80005146262862,0
"20","Treated1",2,-0.369916681971744,0
"21","Observation1",3,0.648203340448345,0
"22","Observation2",3,-0.640584071851951,0
"23","Observation3",3,2.05459874680646,0
"24","Observation4",3,0.713038289590931,0
"25","Observation5",3,-1.72293589516686,0
"26","Observation6",3,-0.89584510019688,0
"27","Observation7",3,1.05242607023556,0
"28","Observation8",3,3.66038843014872,0
"29","Observation9",3,3.00112847539213,0
"30","Treated1",3,1.21404701244601,1
"31","Observation1",4,1.69649832229545,0
"32","Observation2",4,-0.523459840400326,0
"33","Observation3",4,1.11689836434168,0
"34","Observation4",4,-1.6927667318399,0
"35","Observation5",4,-3.14089897253506,0
"36","Observation6",4,-1.57631667037043,0
"37","Observation7",4,0.571043283107181,0
"38","Observation8",4,4.68789530120078,0
"39","Observation9",4,2.81544321508095,0
"40","Treated1",4,1.61690684273043,1
"41","Observation1",5,0.948358686186322,0
"42","Observation2",5,0.232320570743702,0
"43","Observation3",5,1.73442718293623,0
"44","Observation4",5,-1.33873953519345,0
"45","Observation5",5,-2.6545032995337,0
"46","Observation6",5,-1.88596444180952,0
"47","Observation7",5,2.33420975256595,0
"48","Observation8",5,5.51269657681187,0
"49","Observation9",5,2.8831146932868,0
"50","Treated1",5,1.44797129381569,1
"51","Observation1",6,1.5278243509643,0
"52","Observation2",6,0.881354626845232,0
"53","Observation3",6,2.80708226826279,0
"54","Observation4",6,-0.926927434235,0
"55","Observation5",6,-2.04684848897399,0
"56","Observation6",6,0.00736689727770781,0
"57","Observation7",6,2.17908503581136,0
"58","Observation8",6,6.13873830381576,0
"59","Observation9",6,2.43888459868973,0
"60","Treated1",6,0.889901271887548,1
"61","Observation1",7,2.04463064913236,0
"62","Observation2",7,0.0298856589044653,0
"63","Observation3",7,2.32249415397945,0
"64","Observation4",7,-1.03305384188842,0
"65","Observation5",7,-2.00678196134494,0
"66","Observation6",7,-0.185230446530571,0
"67","Observation7",7,3.3827535209816,0
"68","Observation8",7,5.17501394588689,0
"69","Observation9",7,3.14012815233859,0
"70","Treated1",7,1.25647061199619,1
"71","Observation1",8,0.712968544105073,0
"72","Observation2",8,0.607241653028742,0
"73","Observation3",8,1.42937593590968,0
"74","Observation4",8,-0.936670541596571,0
"75","Observation5",8,-1.92172275859348,0
"76","Observation6",8,0.976287191975255,0
"77","Observation7",8,2.85893478433173,0
"78","Observation8",8,3.05335225307562,0
"79","Observation9",8,3.29119318949689,0
"80","Treated1",8,3.10836285907699,1
"81","Observation1",9,1.11659687293192,0
"82","Observation2",9,1.03598354776454,0
"83","Observation3",9,1.81475589240601,0
"84","Observation4",9,1.04107089350051,0
"85","Observation5",9,-1.40117213719537,0
"86","Observation6",9,1.41318293389831,0
"87","Observation7",9,2.31352038677698,0
"88","Observation8",9,4.45327216997761,0
"89","Observation9",9,3.71647814889927,0
"90","Treated1",9,4.55987872017967,1
"91","Observation1",10,0.749761629853717,0
"92","Observation2",10,1.37724301727459,0
"93","Observation3",10,0.191135265908053,0
"94","Observation4",10,0.551686334267003,0
"95","Observation5",10,-3.15148895183233,0
"96","Observation6",10,0.258251609670236,0
"97","Observation7",10,3.10010548678138,0
"98","Observation8",10,5.11542873193216,0
"99","Observation9",10,4.37866017883861,0
"100","Treated1",10,2.72940969945103,1
